                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1261,                 2.2954,                 1.0027,                 1.4052,                0.88587,                0.80632,                0.82439,                0.70081,                0.87712,                0.79868,                0.82152,                0.67923,                0.53769,                0.94526,                 0.5194,                 1.0465,               0.008944,               0.008944,               0.008944
                     35,                 1.1227,                 2.2878,                0.99316,                 1.3983,                0.88965,                0.79333,                0.82809,                0.70191,                0.88208,                0.78795,                0.82243,                0.68203,                0.53225,                0.93609,                0.52358,                 1.0435,               0.008911,               0.008911,               0.008911
                     36,                 1.1271,                 2.2995,                 0.9963,                 1.3986,                0.89409,                0.80547,                0.83297,                0.69849,                0.87957,                0.80521,                0.82908,                0.67461,                0.54625,                 0.9288,                 0.5217,                 1.0499,               0.008878,               0.008878,               0.008878
                     37,                 1.1115,                 2.2705,                0.98146,                 1.3903,                0.89188,                0.79601,                 0.8326,                0.71228,                0.89367,                0.79646,                0.83256,                0.68784,                 0.5257,                0.93588,                0.50228,                 1.0447,               0.008845,               0.008845,               0.008845
                     38,                 1.1139,                 2.2776,                0.97497,                 1.3867,                 0.8907,                0.80583,                0.83177,                0.70658,                0.88951,                0.80483,                0.83155,                0.69085,                 0.5315,                0.94008,                0.51741,                 1.0416,               0.008812,               0.008812,               0.008812
                     39,                  1.118,                  2.295,                0.97965,                 1.3909,                0.87587,                0.82002,                0.83681,                0.71246,                0.88559,                0.80329,                 0.8292,                0.67863,                0.52564,                  0.954,                0.49906,                 1.0332,               0.008779,               0.008779,               0.008779
                     40,                  1.104,                 2.2666,                0.96138,                 1.3813,                0.89817,                0.80918,                0.84309,                0.71516,                0.89842,                0.80847,                0.83826,                0.70307,                0.53079,                0.91462,                0.48916,                 1.0278,               0.008746,               0.008746,               0.008746
                     41,                 1.1063,                 2.2746,                0.96661,                 1.3808,                0.90298,                0.79457,                0.83894,                0.72131,                0.90524,                0.79384,                0.83553,                0.69906,                0.50299,                0.90928,                0.48991,                 1.0163,               0.008713,               0.008713,               0.008713
                     42,                 1.1054,                 2.2537,                0.96285,                 1.3816,                0.89263,                0.80355,                0.83456,                0.71545,                0.89727,                0.79843,                0.82973,                0.68677,                0.51728,                0.92492,                0.49192,                 1.0278,                0.00868,                0.00868,                0.00868
                     43,                  1.095,                 2.2522,                0.94832,                 1.3682,                0.89987,                0.80777,                0.83542,                0.71785,                0.90046,                0.80676,                0.82736,                0.68599,                0.51985,                 0.9035,                0.50175,                 1.0259,               0.008647,               0.008647,               0.008647
                     44,                 1.1033,                  2.258,                0.95057,                 1.3774,                0.90987,                0.80805,                0.84249,                0.71755,                0.90641,                0.80526,                0.83274,                0.68759,                0.50726,                0.92239,                0.48295,                 1.0208,               0.008614,               0.008614,               0.008614
                     45,                 1.0846,                 2.2272,                0.93804,                 1.3658,                0.89486,                0.80963,                 0.8346,                0.71548,                0.89588,                0.80814,                0.82988,                0.69021,                0.51276,                0.90589,                0.48118,                 1.0191,               0.008581,               0.008581,               0.008581
                     46,                 1.0858,                 2.2265,                0.93933,                 1.3629,                0.89297,                0.80812,                0.83774,                0.72327,                0.89223,                0.80601,                0.83228,                0.69779,                0.50242,                0.88635,                0.47777,                 1.0138,               0.008548,               0.008548,               0.008548
                     47,                 1.0812,                 2.2176,                0.93995,                 1.3594,                0.87939,                0.82076,                  0.837,                0.72071,                0.88439,                0.81313,                 0.8314,                 0.6919,                0.50424,                0.89747,                0.47293,                 1.0121,               0.008515,               0.008515,               0.008515
                     48,                 1.0868,                 2.2403,                 0.9386,                 1.3657,                0.88581,                0.81868,                0.83495,                0.71921,                 0.8845,                0.81575,                0.83161,                0.69559,                0.50306,                0.88864,                0.47167,                 1.0164,               0.008482,               0.008482,               0.008482
                     49,                 1.0655,                    2.2,                0.91896,                 1.3544,                0.90895,                0.80087,                0.84133,                 0.7197,                0.90729,                0.79824,                0.83345,                0.69066,                0.51306,                0.88365,                0.47566,                 1.0131,               0.008449,               0.008449,               0.008449
                     50,                 1.0603,                 2.2052,                0.91479,                 1.3423,                0.89123,                0.82317,                0.84456,                0.72964,                0.92499,                0.79696,                0.83742,                0.69738,                0.48549,                0.88299,                0.46094,                 1.0005,               0.008416,               0.008416,               0.008416
                     51,                 1.0867,                 2.2281,                0.92666,                 1.3605,                0.89494,                0.81345,                0.84635,                0.72324,                0.89623,                0.81238,                 0.8393,                  0.696,                0.50593,                0.88161,                0.47058,                 1.0077,               0.008383,               0.008383,               0.008383
                     52,                 1.0647,                 2.2034,                0.90833,                 1.3377,                0.89733,                0.81606,                0.84196,                0.72895,                0.90416,                0.80913,                0.83567,                0.69163,                0.49763,                0.85701,                0.46704,                 1.0038,                0.00835,                0.00835,                0.00835
                     53,                  1.065,                 2.2043,                0.91256,                 1.3406,                0.91169,                0.80673,                0.84403,                0.72699,                0.90119,                0.81208,                0.84054,                0.69721,                0.49896,                0.88351,                0.45958,                 1.0027,               0.008317,               0.008317,               0.008317
                     54,                  1.067,                 2.2042,                0.91939,                  1.349,                0.89833,                0.82152,                 0.8437,                 0.7257,                0.89894,                0.81982,                0.83854,                0.69747,                0.49323,                0.86357,                0.45807,                 1.0054,               0.008284,               0.008284,               0.008284
                     55,                 1.0548,                  2.175,                0.89901,                 1.3354,                0.90569,                0.80916,                0.84405,                0.72842,                0.91001,                0.80528,                0.83769,                0.69039,                0.50127,                0.86722,                0.45971,                 1.0089,               0.008251,               0.008251,               0.008251
                     56,                 1.0544,                 2.1907,                0.90658,                 1.3368,                0.89822,                0.81976,                0.85132,                0.73178,                0.88664,                0.82332,                0.84356,                0.69663,                0.49651,                0.87948,                0.45744,                 1.0082,               0.008218,               0.008218,               0.008218
                     57,                  1.062,                 2.1925,                0.90609,                 1.3429,                0.90174,                0.81734,                0.84712,                0.73419,                 0.9057,                0.81464,                0.84144,                0.70669,                0.48755,                0.86346,                0.46393,                0.99999,               0.008185,               0.008185,               0.008185
                     58,                 1.0612,                  2.199,                 0.8959,                 1.3384,                0.90234,                0.82207,                0.84789,                0.73461,                0.90751,                0.81031,                0.83853,                0.70062,                0.49102,                 0.8573,                0.45257,                 1.0019,               0.008152,               0.008152,               0.008152
                     59,                 1.0519,                  2.176,                0.90195,                 1.3367,                0.90489,                0.81821,                0.85075,                0.73263,                  0.904,                0.81368,                0.84151,                0.69369,                0.49482,                0.87795,                0.46091,                 1.0002,               0.008119,               0.008119,               0.008119
                     60,                  1.057,                 2.1878,                0.89881,                 1.3362,                0.91187,                0.81104,                0.84555,                0.73068,                 0.9162,                0.80744,                 0.8396,                0.69379,                0.48585,                0.87662,                0.45303,                0.99664,               0.008086,               0.008086,               0.008086
